時刻,番線,接近種別,路線A,直通・周り・経由他,種別A,愛称:A,号数:A,行先:A,ドア数,両数A,増解結&2列車有無,時刻:b,路線B,経由他,種別B,愛称:B,号数:b,行先:B,両数B,列・電,付帯:共通
6:07,1,0,上東東海道線,直通,普通,,,品川,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
6:18,1,0,,,普通,,,上野,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
6:23,1,0,湘新東海道線,直通,普通,,,小田原,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
6:33,3,0,,,普通,,,上野,4つドア:G,15,0,,,,,,,,,列車,
6:37,1,0,上東東海道線,直通,普通,,,大船,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
6:41,1,0,湘新東海道線,直通,普通,,,国府津,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
6:46,1,0,,,普通,,,上野,4つドア:G,10,0,,,,,,,,,列車,
6:54,1,0,湘新東海道線,直通,普通,,,平塚,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
7:07,3,2,湘新東海道線,直通,普通,,,小田原,4つドア:G,15,0,,,,,,,,,列車,
7:01,1,0,上東東海道線,直通,普通,,,熱海,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
7:13,1,0,上東東海道線,直通,普通,,,平塚,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
7:18,1,0,,,普通,,,上野,4つドア:G,10,0,,,,,,,,,列車,
7:24,1,0,上東東海道線,直通,普通,,,小田原,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
7:29,1,0,湘新東海道線,直通,普通,,,国府津,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
7:41,1,0,上東東海道線,直通,普通,,,品川,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
7:47,1,0,上東東海道線,直通,普通,,,平塚,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
7:58,1,0,湘新東海道線,直通,普通,,,国府津,4つドア:G,10,0,,,,,,,籠原,5,列車,
8:02,1,0,,,特急,スワローあかぎ,4号,新宿,,7,0,,,,,,,,,列車,\nこの列車は\nスワローサービス\n自由席特急券不可\nご乗車になれません
8:11,1,0,上東東海道線,直通,普通,,,小田原,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
8:25,1,0,湘新東海道線,直通,普通,,,小田原,4つドア:G,10,1:後ろより,,,,,,,籠原,5,列車,
8:33,1,0,,,特急,スワローあかぎ,6号,上野,,7,0,,,,,,,,,列車,\nこの列車は\nスワローサービス\n自由席特急券不可\nご乗車になれません
8:52,1,0,上東東海道線,直通,普通,,,小田原,4つドア:G,10,0,,,,,,,,,列車,
9:00,1,0,,,臨時,リゾートやまどり,385号,伊豆急下田,,6,0,,,,,,,,,列車,
10:50,1,0,上東東海道線,直通,普通,,,小田原,4つドア:G,10,0,,,,,,,,,列車,
11:21,11,0,,,特急,成田エクスプレス,34号,成田空港,,6,4,,,,特急,マリンエクスプレス,1号,伊豆急下田,6,列車,
11:00,1,0,上東東海道線,直通,普通,,,小田原,4つドア:G,10,0,,,,,,,,,列車,